Project Section,Labor / Materials,item,Status,Budget Number,Cost to Date,Progress,Start,End
Feed Hopper,Total,,,"3,500.00",,31.25%,4/3/2023,4/7/2023
Feed Hopper,Labor,Disassembly,,,130.00,100.00%,,
Feed Hopper,Labor,Cleaning,,,325.00,100.00%,,
Feed Hopper,Labor,Sandlbasting ,,750.00,750.00,25.00%,3/13/2023,3/17/2023
Feed Hopper,Labor,powder coating and painting,,"1,500.00",650.00,25.00%,3/16/2023,3/24/2023
Feed Hopper,Labor,Reassembly,,"1,250.00",,0.00%,4/3/2023,4/7/2023
Feed Hopper,Materials,,,,,,,
Feed Hopper,Materials,Electro-pneumatic discharge gate,Good shape,,,0.00%,,
Feed Hopper,Materials,O/C position switchs(open only),replace,?,,0.00%,,
Feed Hopper,Materials,High / Low Level proximity switches,replace,?,,0.00%,,
Roaster Body,Total,,,"38,951.00",,39.29%,3/27/2023,3/31/2023
Roaster Body,Labor,Engineering,,,302,0.00%,,
Roaster Body,Labor,Disassembly,,,"2,600.00",100.00%,,
Roaster Body,Labor,Cleaning,,,"2,275.00",100.00%,,
Roaster Body,Labor,Sandlbasting ,,"5,250.00","2,275.00",25.00%,3/13/2023,3/17/2023
Roaster Body,Labor,powder coating and painting,,"3,750.00","1,625.00",25.00%,3/16/2023,3/24/2023
Roaster Body,Labor,Labor,re-assembly,"13,600.00",,0.00%,3/27/2023,3/31/2023
Roaster Body,Materials,Cylinder  machining,Rebuilt at machine shop - ,,"3,800.00",100.00%,,
Roaster Body,Materials,Front and back disc machining,Rebuilt at machine shop - ,,"3,000.00",100.00%,,
Roaster Body,Materials,Journal Rings,will have them in our possession by mid march,,"4,150.24",50.00%,,
Roaster Body,Materials,pinion and bearings,"new - replace bearing with pillow block Beaerings Cylinder gear, countershaft",,"4,368.34",50.00%,,
Roaster Body,Materials,skirts,"good shape - clean and paint inside, polish outside, regasket and install",,,50.00%,,
Roaster Body,Materials,skirt hold down brackets,clean and paint ,,,50%,,
Roaster Body,Materials,suction box,replace,"11,000.00",,50.00%,,
Roaster Body,Materials,roaster top with explosion hatch,refurb and regasket,"2,000.00",,0.00%,,
Roaster Body,Materials,roaster stand,discuss upgraing to modular,"2,000.00",,0.00%,,
Roaster Body,Materials,"Cylinder drive motor 3 hp TEFC with timing belt drive, and guard",replace motor - price listed is for Baldor (alternate option pricing @  820.00),"1,351.00",,25.00%,,
Roaster Body,Materials,motor timing belt drive,replace,?,,,,
Roaster Body,Materials,Guard,clean sandblast and paint,,,,,
Roaster Body,Materials,Cylinder rotation switch and mounting hardware for cylinder drive,"Replace switch, bad shape, mounted on guard",?,,0.00%,,
